track_name,artist_name,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,release_year,genres,loudness_scaled,popularity_metric,popularity_category
Yummy,Justin Bieber,0.676,0.506,0.0958,0.345,0.0,0.118,0.497,0.5902203806508561,4,2020,Pop,0.7399536577292287,69.0,Not_so_popular
Break My Heart,Dua Lipa,0.73,0.729,0.0884,0.167,1.39e-06,0.349,0.467,0.3507196475076779,4,2020,Pop,0.9529956967891426,80.0,Semi_Popular
Dynamite,BTS,0.746,0.765,0.0993,0.0112,0.0,0.0936,0.737,0.35825533808478205,4,2020,Pop,0.8883813306852035,82.0,Semi_Popular
Supalonely feat Gus Dapperton,"BENEE, Gus Dapperton",0.862,0.631,0.0515,0.291,0.000209,0.123,0.841,0.46719822586645865,4,2020,"Pop,Rock,Hip Hop",0.8661370407149951,62.0,Not_so_popular
ily i love you baby feat Emilee,"Surf Mesa, Emilee",0.674,0.774,0.0892,0.0686,0.00188,0.393,0.33,0.34370919383430243,4,2019,"Pop,Hip Hop",0.6793776895067859,77.0,Semi_Popular
Rain On Me with Ariana Grande,"Lady Gaga, Ariana Grande",0.672,0.855,0.0397,0.021,0.0,0.323,0.646,0.4239974905347933,4,2020,Pop,0.931148626282688,74.0,Semi_Popular
HIGHEST IN THE ROOM,Travis Scott,0.598,0.427,0.0317,0.0546,5.83e-06,0.21,0.0605,0.08414732895149579,4,2019,"Rap,Hip Hop",0.600132406487918,84.0,Popular_Forever
Sunflower - Spider-Man Into the Spider-Verse,"Post Malone, Swae Lee",0.755,0.522,0.0575,0.533,0.0,0.0685,0.925,0.18256359378761466,4,2019,"Pop,Rap",0.8911618669314796,86.0,Popular_Forever
Hawi,Maluma,0.783,0.727,0.389,0.185,2.46e-05,0.0626,0.558,0.8398902838467768,4,2020,"Pop,Latino,Rap",0.9516716319099636,79.0,Semi_Popular
Ride It,Regard,0.88,0.751,0.0874,0.177,6.43e-05,0.106,0.884,0.3867348501980581,4,2019,"Pop,Hip Hop",0.8984442237669645,81.0,Semi_Popular
goosebumps,Travis Scott,0.841,0.728,0.0484,0.0847,0.0,0.149,0.43,0.4750111248094193,4,2016,"Rap,Hip Hop",0.9572327044025156,87.0,Popular_Forever
RITMO Bad Boys For Life,"Black Eyed Peas, J Balvin",0.732,0.716,0.0561,0.0295,0.000758,0.73,0.666,0.29295817801154067,4,2020,"Pop,Latino,Rap",0.7190334326381993,65.0,Not_so_popular
THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",0.716,0.537,0.0514,0.233,0.0,0.157,0.28,0.4745004778196834,4,2020,"Pop,Rap,Hip Hop",0.6740152267461106,77.0,Semi_Popular
Safaera,"Bad Bunny, Jowell & Randy, Ñengo Flow",0.607,0.829,0.379,0.0103,0.0,0.107,0.685,0.22787986664818616,4,2020,"Latino,Rap",0.9106256206554122,78.0,Semi_Popular
lovely with Khalid,"Billie Eilish, Khalid",0.351,0.296,0.0333,0.934,0.0,0.095,0.12,0.3673010847601055,4,2018,"Pop,Jazz",0.5110890433631249,90.0,Popular_Forever
Lucid Dreams,Juice WRLD,0.511,0.566,0.2,0.349,0.0,0.34,0.218,0.13837803926145864,4,2018,Rap,0.7016881827209533,86.0,Popular_Forever
Stuck with U with Justin Bieber,"Ariana Grande, Justin Bieber",0.597,0.45,0.0418,0.223,0.0,0.382,0.537,0.8303922498376872,3,2020,Pop,0.739556438265475,82.0,Semi_Popular
If the World Was Ending feat Julia Michaels,"JP Saxe, Julia Michaels",0.464,0.473,0.129,0.866,0.0,0.109,0.604,0.0792742976780153,4,2019,"Pop,Hip Hop,Jazz",0.5126117179741808,79.0,Semi_Popular
Physical,Dua Lipa,0.647,0.844,0.0457,0.0137,0.000658,0.102,0.746,0.5984272072716132,4,2020,Pop,0.9316782522343596,77.0,Semi_Popular
SICKO MODE,Travis Scott,0.834,0.73,0.222,0.00513,0.0,0.124,0.446,0.6570859564782867,4,2018,"Rap,Hip Hop",0.9344587884806356,86.0,Popular_Forever
drivers license,Olivia Rodrigo,0.585,0.436,0.0601,0.721,1.31e-05,0.105,0.132,0.5758639052822785,4,2021,Pop,0.6003310162197949,28.0,Not_so_popular
Save Your Tears with Ariana Grande Remix,"The Weeknd, Ariana Grande",0.65,0.825,0.0325,0.0215,2.44e-05,0.0936,0.593,0.38777802904851877,4,2021,"Pop,Jazz",0.8728235683548494,83.0,Semi_Popular
MONTERO Call Me By Your Name,Lil Nas X,0.61,0.508,0.152,0.297,0.0,0.384,0.758,0.8307788825584874,4,2021,Hip Hop,0.7379675604104601,75.0,Semi_Popular
Beggin,Måneskin,0.714,0.8,0.0504,0.127,0.0,0.359,0.589,0.5038480898155107,4,2017,"Pop,Rock",0.86203243958954,85.0,Popular_Forever
good 4 u,Olivia Rodrigo,0.556,0.661,0.204,0.3,0.0,0.101,0.668,0.7559472136911753,4,2021,Pop,0.8458788480635552,22.0,Not_so_popular
Peaches feat Daniel Caesar  Giveon,"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,0.119,0.321,0.0,0.42,0.464,0.18307424077735068,4,2021,"Pop,Jazz",0.771135385633896,83.0,Semi_Popular
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,0.6066048540643854,4,2021,"Pop,Rock,Hip Hop,Jazz",0.6530950016550812,21.0,Not_so_popular
Easy On Me,Adele,0.604,0.366,0.0282,0.578,0.0,0.133,0.13,0.5620545516884179,4,2021,"Pop,Jazz",0.6825554452168157,83.0,Semi_Popular
Heartbreak Anniversary,Giveon,0.449,0.465,0.0791,0.524,1.02e-06,0.303,0.543,0.17619509632990726,3,2020,Jazz,0.5868917576961271,82.0,Semi_Popular
STAY with Justin Bieber,"The Kid LAROI, Justin Bieber",0.591,0.764,0.0483,0.0383,0.0,0.103,0.478,0.7659267148620159,4,2021,"Pop,Hip Hop",0.8172790466732871,85.0,Popular_Forever
Happier Than Ever,Billie Eilish,0.332,0.225,0.0348,0.767,0.00349,0.128,0.297,0.11760200173619983,3,2021,Pop,0.604568023833168,87.0,Popular_Forever
deja vu,Olivia Rodrigo,0.439,0.61,0.116,0.593,1.07e-05,0.341,0.172,0.847338434939926,4,2021,Pop,0.7012909632571998,15.0,Not_so_popular
telepata,Kali Uchis,0.653,0.524,0.0502,0.112,0.0,0.203,0.553,0.1388668013802059,4,2020,Pop,0.5834491890102615,85.0,Popular_Forever
3435,Ariana Grande,0.83,0.585,0.094,0.237,0.0,0.248,0.485,0.3285940429381169,4,2020,Pop,0.7516054286660047,80.0,Semi_Popular
Woman,Doja Cat,0.824,0.764,0.0854,0.0888,0.00294,0.117,0.881,0.31415002808558457,4,2021,Pop,0.9039390930155576,86.0,Popular_Forever
MONEY,LISA,0.831,0.554,0.218,0.161,6.12e-05,0.152,0.396,0.5477929107607913,4,2021,Pop,0.5184376034425688,78.0,Semi_Popular
INDUSTRY BABY feat Jack Harlow,"Lil Nas X, Jack Harlow",0.741,0.691,0.0672,0.0221,0.0,0.0476,0.892,0.6211874730998461,4,2021,"Pop,Rap,Hip Hop",0.690764647467726,79.0,Semi_Popular
Astronaut In The Ocean,Masked Wolf,0.778,0.695,0.0913,0.175,0.0,0.15,0.472,0.6205236320131895,4,2021,Hip Hop,0.7258523667659715,76.0,Semi_Popular
Bad Habits,Ed Sheeran,0.808,0.897,0.0348,0.0469,3.14e-05,0.364,0.591,0.44566351281359196,4,2021,Pop,0.9345911949685536,16.0,Not_so_popular
Good Days,SZA,0.436,0.655,0.0583,0.499,8.1e-06,0.688,0.412,0.40901364886453995,4,2020,"Pop,Rap,Jazz",0.6262164846077459,80.0,Semi_Popular
My Universe,"Coldplay, BTS",0.588,0.701,0.0402,0.00813,0.0,0.2,0.443,0.29219220752693664,4,2021,Pop,0.7572989076464747,81.0,Semi_Popular
Kiss Me More feat SZA,"Doja Cat, SZA",0.762,0.701,0.0286,0.235,0.000158,0.123,0.742,0.3358160503643832,4,2021,"Pop,Rap,Jazz",0.9459119496855346,78.0,Semi_Popular
Butter,BTS,0.759,0.459,0.0948,0.00323,0.0,0.0906,0.695,0.32873264712104533,4,2021,Pop,0.8369414101290964,2.0,Not_so_popular
Levitating feat DaBaby,"Dua Lipa, DaBaby",0.702,0.825,0.0601,0.00883,0.0,0.0674,0.915,0.2775220490075212,4,2020,"Pop,Rap,Hip Hop",0.929625951671632,74.0,Semi_Popular
Fair Trade with Travis Scott,"Drake, Travis Scott",0.666,0.465,0.26,0.0503,0.0,0.215,0.292,0.7514024554825252,4,2021,"Pop,Rap,Hip Hop",0.6146309169149289,85.0,Popular_Forever
All Too Well 10 Minute Version Taylors Version From The Vault,Taylor Swift,0.631,0.518,0.0303,0.274,0.0,0.088,0.205,0.20490804706706256,4,2021,Pop,0.5996689837802053,87.0,Popular_Forever
Todo De Ti,Rauw Alejandro,0.78,0.718,0.0506,0.31,0.000163,0.0932,0.342,0.4596917151173394,4,2021,"Pop,Latino,Rap",0.9416749420721616,78.0,Semi_Popular
You Right,"Doja Cat, The Weeknd",0.828,0.621,0.0565,0.0164,0.00233,0.0845,0.436,0.4672565855224283,4,2021,"Pop,Jazz",0.7557100297914598,82.0,Semi_Popular
Heat Waves,Glass Animals,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531,0.11625243469189761,4,2020,"Pop,Rock",0.7235352532274082,90.0,Popular_Forever
Hold On,Justin Bieber,0.658,0.634,0.0413,0.0106,0.0,0.132,0.29,0.5474573427389646,4,2021,Pop,0.7965574313141345,82.0,Semi_Popular
The Business,Tiësto,0.798,0.62,0.232,0.414,0.0192,0.112,0.235,0.40193024562120216,4,2020,"Pop,Hip Hop",0.7116848725587555,79.0,Semi_Popular
Need to Know,Doja Cat,0.664,0.609,0.0707,0.304,0.0,0.0926,0.194,0.4749527651534494,4,2021,Pop,0.7494207216153592,61.0,Not_so_popular
I WANNA BE YOUR SLAVE,Måneskin,0.75,0.608,0.0387,0.00165,0.0,0.178,0.958,0.492942129106149,4,2021,"Pop,Rock",0.9149950347567032,83.0,Semi_Popular
Yonaguni,Bad Bunny,0.644,0.648,0.118,0.276,0.0,0.135,0.44,0.8390440688352143,4,2021,"Latino,Rap",0.8757365110890434,82.0,Semi_Popular
Streets,Doja Cat,0.749,0.463,0.0842,0.21,0.0382,0.338,0.189,0.18311071556233183,4,2019,Pop,0.6220456802383317,83.0,Semi_Popular
positions,Ariana Grande,0.737,0.802,0.0878,0.468,0.0,0.0931,0.682,0.5768924942187466,4,2020,Pop,0.8644819596160211,83.0,Semi_Popular
traitor,Olivia Rodrigo,0.38,0.339,0.0338,0.691,0.0,0.12,0.0849,0.2602330009264596,4,2021,Pop,0.6583250579278386,87.0,Popular_Forever
willow,Taylor Swift,0.392,0.574,0.17,0.833,0.00179,0.145,0.529,0.11801781428498481,4,2020,Pop,0.5715988083416088,83.0,Semi_Popular
love nwantiti ah ah ah,CKay,0.727,0.739,0.0411,0.365,0.00137,0.161,0.533,0.20477673784113049,4,2019,Jazz,0.9284342932803707,81.0,Semi_Popular
pov,Ariana Grande,0.487,0.534,0.0555,0.36,0.0,0.1,0.173,0.487770004595823,4,2020,Pop,0.8053624627606754,75.0,Semi_Popular
Build a Bitch,Bella Poarch,0.855,0.463,0.0367,0.217,1.77e-05,0.347,0.866,0.27718648098569465,4,2021,Pop,0.6868586560741476,74.0,Semi_Popular
Up,Cardi B,0.868,0.795,0.269,0.0012,0.0193,0.0461,0.819,0.7372721237808304,4,2021,"Pop,Rap",0.7802052300562728,70.0,Not_so_popular
DKITI,"Bad Bunny, Jhayco",0.731,0.573,0.0544,0.401,5.22e-05,0.113,0.145,0.32822929508830545,4,2020,"Latino,Rap",0.5143992055610727,79.0,Semi_Popular
Baila Conmigo with Rauw Alejandro,"Selena Gomez, Rauw Alejandro",0.823,0.544,0.0715,0.0215,0.00315,0.0966,0.664,0.6198452010125401,4,2021,"Pop,Latino,Rap",0.7081761006289309,70.0,Not_so_popular
Shivers,Ed Sheeran,0.788,0.859,0.0856,0.281,0.0,0.0424,0.822,0.5550440980150424,4,2021,Pop,1.0,30.0,Not_so_popular
Solar Power,Lorde,0.735,0.47,0.1,0.266,0.000105,0.32,0.897,0.1680539243221162,4,2021,Pop,0.5576961271102285,0.0,Not_so_popular
Were Good,Dua Lipa,0.722,0.588,0.0544,0.0319,0.0,0.183,0.59,0.5039064494714803,4,2021,Pop,0.7876199933796757,75.0,Semi_Popular
WITHOUT YOU with Miley Cyrus,"The Kid LAROI, Miley Cyrus",0.655,0.469,0.0292,0.173,0.0,0.0956,0.467,0.20153048197780876,4,2021,"Pop,Hip Hop",0.7661039390930156,71.0,Semi_Popular
late at night,Roddy Ricch,0.643,0.403,0.41,0.343,0.0,0.138,0.111,0.24515432481525534,4,2021,Rap,0.4352863290301225,65.0,Not_so_popular
Calling My Phone,"Lil Tjay, 6LACK",0.907,0.393,0.0539,0.451,1.35e-06,0.135,0.202,0.29190770420408374,4,2021,"Rap,Hip Hop,Jazz",0.6748096656736181,81.0,Semi_Popular
RAPSTAR,Polo G,0.789,0.536,0.242,0.41,0.0,0.129,0.437,0.11748528242426015,4,2021,Rap,0.7260509764978484,81.0,Semi_Popular
Girls Want Girls with Lil Baby,"Drake, Lil Baby",0.767,0.438,0.29,0.181,0.0,0.142,0.381,0.16078814715387257,4,2021,"Pop,Rap,Hip Hop",0.6026481297583581,78.0,Semi_Popular
Whoopty,CJ,0.719,0.648,0.125,0.2,0.0,0.127,0.66,0.549069528235131,4,2020,Rap,0.6771929824561405,72.0,Semi_Popular
LA NOCHE DE ANOCHE,"Bad Bunny, ROSALÍA",0.856,0.618,0.286,0.0303,0.0,0.0866,0.391,0.12444467139866211,4,2020,"Pop,Latino,Rap,Jazz",0.8564713670969878,80.0,Semi_Popular
Anyone,Justin Bieber,0.686,0.538,0.0345,0.181,3.13e-06,0.113,0.584,0.37167805895784256,4,2021,Pop,0.648990400529626,72.0,Semi_Popular
Love Story Taylors Version,Taylor Swift,0.626,0.79,0.0311,0.135,3.97e-06,0.0989,0.416,0.39500733143178124,4,2021,Pop,0.8955312810327707,85.0,Popular_Forever
Afterglow,Ed Sheeran,0.641,0.324,0.0299,0.698,0.0,0.328,0.273,0.33009680407933994,4,2020,Pop,0.7929824561403509,73.0,Semi_Popular
GIRL LIKE ME,"Black Eyed Peas, Shakira",0.965,0.485,0.191,0.0206,0.0237,0.0655,0.312,0.4310663038641388,4,2020,"Pop,Latino,Rap",0.5988083416087389,72.0,Semi_Popular
BICHOTA,KAROL G,0.863,0.666,0.152,0.212,0.000493,0.103,0.838,0.7220110737447203,4,2020,"Latino,Rap",0.90506454816286,74.0,Semi_Popular
Bandido,"Myke Towers, Juhn",0.713,0.617,0.0887,0.122,0.0,0.0962,0.682,0.752015231870208,4,2020,"Latino,Rap",0.8733531943065211,75.0,Semi_Popular
Prisoner feat Dua Lipa,"Miley Cyrus, Dua Lipa",0.781,0.67,0.0452,0.0103,0.0,0.0761,0.595,0.4599908083541848,4,2020,Pop,0.9213505461767628,2.0,Not_so_popular
Beautiful Mistakes feat Megan Thee Stallion,"Maroon 5, Megan Thee Stallion",0.713,0.676,0.027,0.0377,0.0,0.154,0.721,0.24886016296933933,4,2021,"Pop,Rap,Jazz",0.817345249917246,28.0,Not_so_popular
Therefore I Am,Billie Eilish,0.889,0.34,0.0697,0.218,0.13,0.055,0.716,0.21210087466534389,4,2020,Pop,0.6657398212512414,74.0,Semi_Popular
test drive,Ariana Grande,0.698,0.708,0.0454,0.0251,0.0,0.124,0.322,0.36549193542504077,4,2021,Pop,0.8530950016550811,63.0,Not_so_popular
Lemonade,"Internet Money, Gunna, Don Toliver, NAV",0.799,0.66,0.079,0.256,0.0,0.111,0.471,0.5478950401587384,4,2020,"Pop,Rap,Hip Hop",0.7729890764647469,60.0,Not_so_popular
Lost Cause,Billie Eilish,0.671,0.336,0.241,0.705,0.00751,0.0577,0.518,0.0738030799308439,4,2021,Pop,0.6180072823568356,1.0,Not_so_popular
Selfish Love with Selena Gomez,"DJ Snake, Selena Gomez",0.723,0.646,0.102,0.0206,0.352,0.0994,0.443,0.33583793523537186,4,2021,"Pop,Rap,Hip Hop",0.6524991724594505,58.0,Not_so_popular
What You Know Bout Love,Pop Smoke,0.584,0.547,0.382,0.655,1.64e-06,0.134,0.56,0.13848016865940582,4,2021,Rap,0.6174776564051638,0.0,Not_so_popular
Head  Heart feat MNEK,"Joel Corry, MNEK",0.734,0.874,0.0662,0.168,1.14e-05,0.0489,0.905,0.4232461099641819,4,2020,"Pop,Jazz",0.971267792121814,79.0,Semi_Popular
Save Your Tears,The Weeknd,0.68,0.826,0.0309,0.0212,1.24e-05,0.543,0.644,0.3874862307686697,4,2020,"Pop,Jazz",0.8170804369414102,88.0,Popular_Forever
Body,Megan Thee Stallion,0.914,0.732,0.241,0.0166,0.0,0.107,0.469,0.21251668721412897,4,2020,"Pop,Rap,Jazz",0.7764978483945715,80.0,Semi_Popular
Best Friend feat Doja Cat,"Saweetie, Doja Cat",0.84,0.766,0.136,0.00302,3.61e-06,0.0684,0.402,0.21216652927830992,4,2021,"Pop,Rap",0.9075802714333004,72.0,Semi_Popular
3435 Remix feat Doja Cat Megan Thee Stallion - Remix,"Ariana Grande, Doja Cat, Megan Thee Stallion",0.88,0.662,0.304,0.205,0.0,0.227,0.726,0.3286669925080792,4,2021,"Pop,Rap,Jazz",0.798609731876862,64.0,Not_so_popular
Whats Next,Drake,0.781,0.594,0.0485,0.0136,0.0,0.162,0.0628,0.4738877014320002,4,2021,"Pop,Rap,Hip Hop",0.7196292618338299,73.0,Semi_Popular
On The Ground,ROSÉ,0.311,0.607,0.11,0.0174,0.0,0.131,0.286,0.9028676475952175,4,2021,Pop,0.7448526977821914,72.0,Semi_Popular
As I Am feat Khalid,"Justin Bieber, Khalid",0.595,0.543,0.038,0.127,0.0,0.0975,0.109,0.2552797251260204,4,2021,"Pop,Jazz",0.6408474015226747,65.0,Not_so_popular
Met Him Last Night feat Ariana Grande,"Demi Lovato, Ariana Grande",0.538,0.512,0.0262,0.22,0.0,0.101,0.12,0.5839175378061148,4,2021,Pop,0.879245283018868,59.0,Not_so_popular
m y  l i f e with 21 Savage  Morray,"J. Cole, 21 Savage, Morray",0.597,0.587,0.137,0.0622,0.0,0.214,0.0753,0.5477564359758098,4,2021,"Pop,Rap,Hip Hop",0.71519364448858,80.0,Semi_Popular
Your Power,Billie Eilish,0.634,0.285,0.0807,0.937,0.000359,0.232,0.203,0.47210043696792414,4,2021,Pop,0.2530287984111222,1.0,Not_so_popular
Permission to Dance,BTS,0.702,0.741,0.0427,0.00544,0.0,0.337,0.646,0.4376317651607444,4,2021,Pop,0.8274743462429659,3.0,Not_so_popular
Motley Crew,Post Malone,0.797,0.631,0.0786,0.0904,3.71e-06,0.0998,0.288,0.4740336005719247,4,2021,"Pop,Rap",0.9275736511089044,75.0,Semi_Popular
Hurricane,Kanye West,0.587,0.561,0.146,0.0466,0.0,0.109,0.351,0.10997147671814478,4,2021,"Rap,Hip Hop",0.7454485269778219,24.0,Not_so_popular
Pepas,Farruko,0.762,0.766,0.0343,0.00776,6.98e-05,0.128,0.442,0.4746609668736004,4,2021,"Latino,Rap",0.9185038066865276,82.0,Semi_Popular
THATS WHAT I WANT,Lil Nas X,0.737,0.846,0.22,0.00614,0.0,0.0486,0.546,0.16812687389207837,4,2021,Hip Hop,0.8817610062893082,82.0,Semi_Popular
Rumors feat Cardi B,"Lizzo, Cardi B",0.827,0.731,0.088,0.13,0.0,0.418,0.607,0.39435078530212075,4,2021,"Pop,Rap,Hip Hop",0.8146309169149288,65.0,Not_so_popular
Skate,"Bruno Mars, Anderson .Paak, Silk Sonic",0.708,0.598,0.0291,0.037,0.0,0.17,0.698,0.3435414098233892,4,2021,"Pop,Rock,Hip Hop,Jazz",0.6265475008275406,2.0,Not_so_popular
t r a n s p a r e n t s o u l feat Travis Barker,"WILLOW, Travis Barker",0.39,0.83,0.0563,0.0021,0.0,0.156,0.191,0.18300858616438465,4,2021,"Pop,Rock,Rap",0.836014564713671,64.0,Not_so_popular
Cold Heart - PNAU Remix,"Elton John, Dua Lipa, PNAU",0.796,0.798,0.0317,0.034,4.19e-05,0.0952,0.942,0.3727577125932843,4,2021,"Pop,Rock",0.7624627606752732,85.0,Popular_Forever
Leave Before You Love Me with Jonas Brothers,"Marshmello, Jonas Brothers",0.721,0.738,0.0403,0.00226,4.41e-06,0.118,0.637,0.4015290229864096,4,2021,"Pop,Hip Hop",0.8645481628599803,84.0,Popular_Forever
Girl From Rio,Anitta,0.692,0.639,0.0352,0.00727,0.0,0.199,0.733,0.5480336443416667,4,2021,Pop,0.7356504468718967,58.0,Not_so_popular
Arcade feat FLETCHER,"Duncan Laurence, FLETCHER",0.446,0.395,0.0365,0.815,0.00216,0.128,0.267,0.05113764854356195,3,2020,"Pop,Hip Hop",0.5627937768950679,67.0,Not_so_popular
Summer of Love Shawn Mendes  Tainy,"Shawn Mendes, Tainy",0.776,0.808,0.117,0.0297,0.000127,0.103,0.494,0.4307963904552783,4,2021,"Pop,Latino,Rap",0.8823568354849387,75.0,Semi_Popular
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",0.773,0.47,0.0299,0.0153,0.000193,0.0851,0.399,0.2192937022636252,4,2020,"Pop,Rock,Jazz",0.6553459119496856,78.0,Semi_Popular
Life Goes On,Oliver Tree,0.7,0.49,0.076,0.186,0.0,0.117,0.569,0.10977451287924667,4,2021,Hip Hop,0.8369414101290964,76.0,Semi_Popular
Dick feat Doja Cat,"StarBoi3, Doja Cat",0.647,0.608,0.42,0.13,0.0,0.0584,0.474,0.4454300741897127,4,2021,"Pop,Rap",0.728103277060576,70.0,Not_so_popular
Praise God,Kanye West,0.798,0.545,0.168,0.00904,9.48e-05,0.258,0.212,0.38732574171475265,4,2021,"Rap,Hip Hop",0.7522674611055942,78.0,Semi_Popular
As It Was,Harry Styles,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662,0.7951211327609224,4,2022,Pop,0.8269447202912943,94.0,Popular_Forever
