folder,Lyrics
Childish Gambino - Redbone,"[Verse 1]
Daylight
I wake up feelin' like you won't play right
I used to know, but now that shit don't feel right
It made me put away my pride
So long
You made a nigga wait for some, so long
You make it hard for boy like that to go on
I'm wishin' I could make this mine, oh

[Pre-Chorus]
(If you want it) Yeah
(You can have it) Oh, oh, oh
(If you need it) Ooh
(We can make it, oh)
If you want it
You can have it

[Chorus]
But stay woke
Niggas creepin'
They gon' find you
Gon' catch you sleepin', ooh
Now stay woke
Niggas creepin'
Now, don't you close your eyes
You might also like[Verse 2]
Too late
You wanna make it right, but now it's too late
My peanut butter chocolate cake with Kool-Aid
I'm tryin' not to waste my time

[Pre-Chorus]
(If you want it) Oh
(You can have it) You can have it
(If you need it) You better believe in somethin'
(We can make it, oh)
If you want it
(You can have it) Ahh!

[Chorus]
But stay woke (Stay woke)
Niggas creepin' (They be creepin')
They gon' find you (They gon' find you)
Gon' catch you sleepin', ooh (Gon' catch you sleepin', put your hands up now, baby)
Now stay woke
Niggas creepin'
Now, don't you close your eyes
But stay woke (Ooh-ahh)
Niggas creepin' (They gon' find you)
They gon' find you
Gon' catch you sleepin', ooh (Gon' catch you, gon' catch you)
Now stay woke
Niggas creepin'
Now, don't you close your eyes
[Outro]
How'd it get so scandalous?
Oh, how'd it get so scandalous?
Oh, oh, baby you, how'd it get
How'd it get so scandalous?
How'd it get so scandalous?
But stay woke
But stay woke358Embed"
Chord Overstreet - Hold On,"[Verse 1]
Loving and fighting
Accusing, denying
I can't imagine a world with you gone
The joy and the chaos, the demons we're made of
I'd be so lost if you left me alone
You locked yourself in the bathroom
Lying on the floor when I break through
I pull you in to feel your heartbeat
Can you hear me screaming, ""Please don't leave me!""?

[Chorus]
Hold on, I still want you
Come back, I still need you
Let me take your hand, I'll make it right
I swear to love you all my life
Hold on, I still need you

[Verse 2]
Long endless highway, you're silent beside me
Driving a nightmare I can't escape from
Helplessly praying, the light isn't fading
Hiding the shock and the chill in my bones
They took you away on a table
I pace back and forth as you lay still
They pull you in to feel your heartbeat
Can you hear me screaming, ""Please don't leave me!""
You might also like[Chorus]
Hold on, I still want you
Come back, I still need you
Let me take your hand, I'll make it right
I swear to love you all my life
Hold on, I still need you

[Bridge]
I don't wanna let go
I know I'm not that strong
I just wanna hear you
Saying ""baby, let's go home""
Let's go home
Yeah, I just wanna take you home

[Outro]
Hold on, I still want you
Come back, I still need you60Embed"
Clean Bandit - Rockabye ,"[Intro: Sean Paul]
Call it love and devotion
Call it a mom's adoration, foundation
A special bond of creation, ha
For all the single moms out there
Goin' through frustration
Clean Bandit, Sean da Paul
Anne-Marie, sing, make them hear

[Verse 1: Anne-Marie, Sean Paul]
She works the nights by the water
She's gone astray, so far away
From her father's daughter
She just wants a life for her baby
All on her own, no one will come
She's got to save him (Daily struggle)

[Pre-Chorus: Anne-Marie, Sean Paul]
She tells him, ""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you"" (Stay up there, stay up there)
She tells him, ""Your life
Ain't gon' be nothin' like my life (Straight)
You're gonna grow and have a good life
I'm gonna do what I've got to do"" (Stay up there, stay up there)
You might also like[Chorus: Anne-Marie]
So rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Rockabye

[Post-Chorus: Sean Paul, Anne-Marie]
(No, oh)
Rockabye, rocka-rocka-rockabye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rockabye

[Verse 2: Sean Paul, Anne-Marie, Both]
Single mom, how you doin' out there?
Facing the hard life without no fear (Yeah)
Just so you know that you really care (Uh)
'Cause any obstacle come, you're well prepared (Oh no)
And no, mama, you never shed tear
'Cause you haffi shed things year after year (Na-na-na-na)
And you give the yout love beyond compare (Yeah)
You find his school fee and the bus fare (Yeah)
Mm, already pops disappear
Inna rum bar, can't find him nowhere
Steadily your work flow heavily, you know
So you nah stop, no time, no time for ya dear
[Refrain: Anne-Marie]
Now she got a six-year-old
Tryin' to keep him warm
Tryin' to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

[Pre-Chorus: Anne-Marie]
""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you""

[Chorus: Anne-Marie, Sean Paul]
So rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry
Somebody's got you
Rockabye, baby, rockabye
I'm gonna rock you
Rockabye, baby, don't you cry (Bada-bang-bang-bang, alright then)
Rockabye

[Post-Chorus: Sean Paul, Anne-Marie]
(No, oh)
Rockabye, rocka-rocka-rocka-bye
(Rockabye, yeah, yeah)
Rockabye, rocka-rocka-rocka-bye
Rockabye, don't bother cry
Lift up your head, lift it up to the sky, yo
Rockabye, don't bother cry
Angels surround you, just dry your eye
[Refrain: Anne-Marie]
Now she got a six-year-old
Tryin' to keep him warm
Tryin' to keep out the cold
When he looks in her eyes
He don't know he is safe when she says

[Pre-Chorus: Anne-Marie, Sean Paul]
She tells him, ""Ooh, love
No one's ever gonna hurt you, love
I'm gonna give you all of my love
Nobody matters like you"" (Stay up there, stay up there)
She tells him, ""Your life
Ain't gon' be nothin' like my life (Straight)
You're gonna grow and have a good life
I'm gonna do what I got to do"" (Yeah)

[Chorus: Anne-Marie, Sean Paul]
So, rockabye, baby, rockabye (Rockabye, rocka-rocka-rockabye)
I'm gonna rock you
Rockabye, baby, don't you cry (Rockabye, rocka-rocka-rockabye)
Somebody's got you
Rockabye, baby, rockabye (Rockabye, rocka-rocka-rockabye)
I'm gonna rock you
Rockabye, baby, don't you cry (Bada-bang-bang-bang, alright then)
Rockabye

[Post-Chorus: Sean Paul, Anne-Marie]
Rockabye, don't bother cry
Lift up your head, lift it up to the sky (Rockabye)
Rockabye, don't bother cry (Yeah, yeah)
Angels surround you, just dry your eye (Rockabye)
Rockabye, don't bother cry (No, oh)
Lift up your head, lift it up to the sky (Rockabye)
Rockabye, don't bother cry
Angels surround you, just dry your eye73Embed"
Clean Bandit - Symphony ,"[Verse 1]
I've been hearin' symphonies
Before, all I heard was silence
A rhapsody for you and me
And every melody is timeless
Life was stringin' me along
Then you came and you cut me loose
Was solo, singin' on my own
Now I can't find the key without you

[Pre-Chorus]
And now your song is on repeat
And I'm dancin' on to your heartbeat
And when you're gone, I feel incomplete
So, if you want the truth

[Chorus]
I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?

[Verse 2]
I'm sorry if it's all too much
Every day you're here, I'm healin'
And I was runnin' outta luck
I never thought I'd find this feelin'
'Cause I've been hearin' symphonies
Before all I heard was silence
A rhapsody for you and me (A rhapsody for you and me)
And every melody is timeless
You might also like[Pre-Chorus]
And now your song is on repeat
And I'm dancin' on to your heartbeat
And when you're gone, I feel incomplete
So, if you want the truth

[Chorus]
I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?

[Interlude]
Ah, ah, ah, ah-ah-ah, ah, ah, ah
Ah, ah, ah, ah-ah-ah, ah, ah, ah

[Pre-Chorus]
And now your song is on repeat
And I'm dancin' on to your heartbeat
And when you're gone, I feel incomplete
So if you want the truth (Oh)

[Chorus]
I just wanna be part of your symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Symphony
Will you hold me tight and not let go?
Symphony
Like a love song on the radio
Will you hold me tight and not let go?71Embed"
Coldplay - Adventure of a Lifetime,"[Intro]
[Indecipherable]
[Verse 1]
""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
We are legends, every day""
That's what she told me
""Turn your magic on,"" to me, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds""

[Pre-Chorus]
Now, I feel my heart beatin'
I feel my heart underneath my skin
Now, I feel my heart beatin'
Oh, you make me feel

[Chorus]
Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

[Verse 2]
Said, ""I can't go on, not in this way
I'm a dream that died by light of day
Gonna hold up half the sky and say
Only I own me""
See Coldplay LiveGet tickets as low as $102You might also like[Pre-Chorus]
Now, I feel my heart beatin'
I feel my heart underneath my skin
Oh, I can I feel my heart beatin'
'Cause you make me feel

[Chorus]
Like I'm alive again
(Alive again)
Oh, you make me feel
Like I'm alive again

[Verse 3]
""Turn your magic on,"" Umi, she'd say
""Everythin' you want's a dream away
Under this pressure, under this weight
We are diamonds takin' shape
We are diamonds takin' shape""

[Bridge]
(Woo, woo-hoo)
(Woo, woo-hoo)
If we've only got this life, this adventure, oh, then I
And if we've only got this life, you'll get me through alive
And if we've only got this life, in this adventure, oh, then I
Want to share it with you, with you, with you
Oh, see, yeah, see, yeah, I do
[Outro]
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)
Woo-hoo (Woo-hoo)55Embed"
Coldplay - Hymn for the Weekend,"[Intro: Beyoncé]
And said drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
That we shoot across the sky
Pour on a...
Drink from me, drink from me
(Oh-ah-oh-ah)
That we shoot across the sky
Symphony
(So high, so high)
That we shoot across the sky

[Verse 1: Chris Martin]
Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh, now I think I must be miles up
When I was a river dried up
You came to rain a flood

[Pre-Chorus: Chris Martin & Beyoncé]
You said drink from me, drink from me
When I was so thirsty
Poured on a symphony
Now I just can't get enough
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low
See Coldplay LiveGet tickets as low as $102You might also like[Chorus: Chris Martin]
I, oh-I, oh-I
Got me feeling drunk and high, so high, so high
Oh-I, oh-I, oh-I
Now I'm feeling drunk and high, so high, so high
(Woo)
(Woo-ooo-ooo-woo)

[Verse 2: Chris Martin & Beyoncé]
Oh, angel sent from up above
I feel you coursing through my blood
Life is a drink and your love's about
To make the stars come out

[Pre-Chorus: Chris Martin & Beyoncé]
Put your wings on me, wings on me
When I was so heavy
Poured on a symphony
When I'm low, low, low, low

[Chorus: Chris Martin]
I, oh-I, oh-I
Got me feeling drunk and high, so high, so high
Oh-I, oh-I, oh-I
I'm feeling drunk and high, so high, so high
[Bridge: Beyoncé & Chris Martin]
I, oh-I, oh-I
La, la, la, la, la, la, la, so high, so high
I, oh-I, oh-I
Now I'm feeling drunk and high, so high, so high

[Outro: Beyoncé  & Chris Martin]
That I shoot across the sky
That I shoot across the...
That I shoot across the sky
Let me shoot across the... (Let me shoot)
Let me shoot across the sky
Let me shoot across the...
Let me shoot across the sky
That we shoot across the...69Embed"
Crystal Castles - Crimewave,"[Chorus]
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands

[Chorus]
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough hands

[Outro]
Eyes lit on sharp threats from dark lips
The lights press the soft skin to rough handsYou might also like37Embed"
Daddy Yankee - Dura,"[Letra de ""Dura (Remix)"" ft. Bad Bunny, Natti Natasha & Becky G]

[Intro: Natti Natasha, Becky G, Bad Bunny & Daddy Yankee]
(*Me gusta mi reggae*)
Natti Nat
(Yeh-yeh-yeh-yeh)
¡Fuego!
Becky-Becky-Becky G
(Bad Bunny, baby)
Sikiri-da-da, Daddy Yankee, yo'

[Pre-Coro: Daddy Yankee]
Cuando yo la vi, dije: ""Si esa mujer fuera para mí""
Perdóname, te lo tenía que decir

[Coro: Daddy Yankee, Bad Bunny]
'Tás dura (Dura), dura (Dura), dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de die'
'Tás dura, dura, dura

[Verso 1: Becky G & Daddy Yankee]
Búscate limón y tequi
Que así e' como se prende Becky
De PG me pongo triple equi'
Porque las shorty-shorty son las del pique (Pique)
¿Quieres conquistarme? Págame el ticke' (Ticket, ticket)
See Daddy Yankee LiveGet tickets as low as $18You might also like[Refrán: Becky G & Daddy Yankee]
Cuida'o, porque te vas a envolver
Cuida'o, las mujeres tienen poder
Cuida'o, aviso 'e peligro
Baila conmigo sin filtro (Zumba)

[Puente: Daddy Yankee]
Tienes el toque, toque, toque
Miren el material, edición especial
Tienes el toque, toque, toque
Perdóname, te lo tenía que decir

[Coro: Bad Bunny, Daddy Yankee, Ambos]
'Tás dura (Dile; dura), dura (Dura), dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel (Yeh, yeh)
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'? (Dime)
Dura, yo te doy un veinte de diez (¿Cómo?)
'Tás dura (Eh), dura (Eh), dura (Eh)

[Verso 2: Natti Natasha, Bad Bunny & Daddy Yankee]
La dura de las dura'
Tengo sueltecita la cintura, pa' bajarte to' esa calentura (¿Cómo?)
De nadie me dejo
Yo soy vegetariana pero me como al Conejo (¿Qué-qué-qué?)
[Refrán: Natti Natasha]
Cuida'o, porque te vas a envolver
Cuida'o, las mujeres tienen poder
Cuida'o, perreo sin filtro
Soy la dura, me llaman ""Peligro""

[Verso 3: Bad Bunny]
(Yeh, yeh, yeh, yeh)
Parece modelo, le sobra el piquete (Huh!)
Si fuera stripper le llovieran los billete' (Yeh)
Antes que la nota se me trepe
Quiero bailar contigo pa' ver si tú le mete' (Prr)
Plan B es Plan B
Yankee se la perrea y yo también
Dime por qué todavía no has subido el challenge
Si cuando tú llegas, baby, las demás se salen

[Coro: Daddy Yankee, Natti Natasha, Bad Bunny, Becky G]
Porque tú estás dura (Dura; oh), dura (Dura; eh), dura, dura, dura
Yo estoy dura, mano arriba porque luzco muy bien
'Toy dura, papacito, te subo de nivel
Dura, mira como brilla mi piel
Dura, yo lo meneo muy bien, así es que e'
Dura, tú me diste un veinte de diez
'Tás dura, dura, dura (¡Fuimo'!)
[Verso 4: Daddy Yankee]
Número uno, 'tás en primer lugar
Con esa baby yo quiero bailar
Y mami, cuando bailas, ¿quién te frena?
Ere' una general, por eso te ve' buena (¡Uy!)
Tira la pista, Urba
Mami, si tú ere' calle, me pierdo en esa' curva' (¡Uy!)
Bailando tiene resistencia 'e maratón
Le llaman la reina del reggaetón (¡Plo-plo-plo-plo!)

[Pre-Coro: Daddy Yankee]
Cuando yo la vi (Dímelo, baby girl)
Dije: ""Si esa mujer fuera para mí"" (Pa' mí esa baby)
Perdóname, te lo tenía que decir

[Coro: Daddy Yankee & Bad Bunny, Ambos]
'Tás dura (Dura; oh), dura (Dura; eh), dura, dura, dura
Que estás dura, mano arriba porque tú te ves bien
'Tás dura, mamacita, te fuiste de nivel
Dura, mira como brilla tu piel
'Tás dura, dímelo, dímelo, ¿cómo es que e'?
'Tás dura, yo te doy un veinte de diez
'Tás dura, dura, dura

[Post-Coro: Daddy Yankee & Natti Natasha]
Tú tienes el size, otra como tú, mami, no hay
Pégate, dale boom bye-bye
Papi, si tienes el size, vente, enséñame to' lo que hay
Pégate y dame boom bye-bye
Que tú tienes el size, otra como tú, mami, no hay
Pégate, dale boom bye bye
Papi, si tienes el size, vente, enséñame to' lo que hay
Pégate y dame boom bye-bye (Eh-eh)

[Outro: Daddy Yankee]
Retumbando las bocina':
Dirili-Daddy, Becky, Natti, Bad Bunny, nos fuimo' lejos
Sigan las regla', que aquí manda la remezcla
Dura, dura, dura (D.Y.)
Evo Jedis
(¡Fuego!)5Embed"
David Guetta - This One's for You ,"[Intro: Zara Larsson]
Mmm-mmm, oh

[Verse 1: Zara Larsson]
We're born to fly
So let's keep livin' 'til it all falls down
Let's close our eyes
And let the moment drown the whole world out

[Chorus: Zara Larsson]
We're in this together
Hear our hearts beat together
We stand strong together
We're in this forever
This one's for you
This one's for you (Yeah-yeah, eh)

[Drop: David Guetta]

[Verse 2: Zara Larsson]
Wavin' colored flags
We won't surrender, there's no standin' down (No standin' down)
Love's a playin' field (Uh huh)
It's full of winners, we're breakin' new ground

[Chorus: Zara Larsson]
We're in this together (Together)
Hear our hearts beat together
We stand strong together (Mmm)
We're in this forever (Forever)
This one's for you (Ooh)
This one's for you (Oh, yeah, yeah)
See David Guetta LiveGet tickets as low as $74You might also like[Drop: David Guetta]

[Bridge: Zara Larsson]
Mmh, together
Woah, woah
Oooooh

[Chorus: Zara Larsson]
We're in this together (We're in this together)
Hear our hearts beat together (Yeah, yeah)
We stand strong together
We're in this forever (Ooh, oh, woah, yeah)
This one's for you4Embed"
Daya - Hide Away,"[Verse 1]
Boys seem to like the girls who laugh at anything
The ones who get undressed before the second date
Girls seem to like the boys who don't appreciate
All the money and the time that it takes

[Pre-Chorus 1]
To be fly as a mother
Got my both eyes out for Mr. Right
Guessing I just don't know where to find 'em
But I hope they all come out tonight

[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Verse 2]
Boys seem to like the girls who like to kiss and tell
Talking them up about the things they do so well
But I'd rather find a boy who is down for the chase
Putting in the time that it takes

[Pre-Chorus 2]
To be fly as a mother
To supply all of my heart's demands
Suit and tie, cause undercover
He's gonna save my life like Superman
You might also like[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Bridge]
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go
Won't somebody tell me, tell me?
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go
Tell me where the good boys go

[Chorus]
Where do the good boys go to hide away, hide away?
I'm a good good girl who needs a little company
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?

[Outro]
Hide away, hide away
Hide away, hide away
Looking high and low, someone let me know
Where do the good boys go to hide away, hide away?26Embed"
"Daya - Sit Still, Look Pretty","[Verse 1]
Could dress up, to get love
But guess what?
I'm never gonna be that girl
Who's living in a Barbie world
Could wake up in make up and play dumb
Pretending that I need a boy
Who's gonna treat me like a toy

[Pre-Chorus]
I know the other girlies wanna wear expensive things
Like diamond rings
But I don't wanna be the puppet that you're playing on a string
This queen don't need a king

[Chorus]
Oh, I don't know what you've been told
But this gal right here's gonna rule the world
Yeah, that is where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still, look pretty

[Verse 2]
Mr. Right could be nice, for one night
But then he wanna take control
And I would rather fly solo
That Snow White, she did right in her life
Had 7 men to do the chores
'Cause that's not what a lady's for
You might also like[Pre-Chorus]
The only thing a boy's gonna give a girl for free's captivity
And I might love me some vanilla, but I'm not that sugar sweet
Call me HBIC

[Chorus]
Oh, I don't know what you've been told
But this gal right here's gonna rule the world
Yeah, that is where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still, look pretty
[Bridge]
Sure, I'm a pretty girl up in a pretty world
But they say pretty hurts
And I don't wanna sit still
I'm a pretty girl up in a pretty world
But no, I won't sit still, look pretty
Sure, I'm a pretty girl up in a pretty world
But they say pretty hurts
And I don't wanna sit still
I'm-I'm a pretty girl up in a pretty world
But no, I won't sit still, look pretty
[Chorus]
Oh, I don't know what you've been told
But this gal right here's gonna rule the world
Yeah, that is where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
'Cause I don't wanna sit still, look pretty
Oh, I don't know what you've been told
But this gal right here's gonna rule the world
Yeah, that is where I'm gonna be because I wanna be
No, I don't wanna sit still, look pretty
You get off on your 9 to 5
Dream of picket fences and trophy wives
But no, I'm never gonna be 'cause I don't wanna be
No, I don't wanna sit still, look pretty

[Outro]
Sit still, look pretty
Sit still, look pretty
Sit still, look pretty
Sit still, look pretty
[Mike Campbell's inspiration]34Embed"
Demi Lovato - Heart Attack,"[Intro]
Puttin' my defenses up
'Cause I don't wanna fall in love
If I ever did that, I think I'd have a heart attack

[Verse 1]
Never put my love out on the line
Never said ""yes"" to the right guy
Never had trouble getting what I want
But when it comes to you, I'm never good enough
When I don't care, I can play 'em like a Ken doll
Won't wash my hair
Then make 'em bounce like a basketball

[Pre-Chorus]
But you make me wanna act like a girl
Paint my nails and wear high heels
Yes, you, make me so nervous that I just can't hold your hand

[Chorus]
You make me glow
But I cover up, won't let it show
So I'm putting my defenses up
'Cause I don't wanna fall in love
If I ever did that, I think I'd have a heart attack
I think I'd have a heart attack
I think I'd have a heart attack
You might also like[Verse 2]
Never break a sweat for the other guys
When you come around, I get paralyzed
And every time I try to be myself
It comes out wrong, like a cry for help
It's just not fair, pain's more trouble than love is worth
I gasp for air, it feels so good, but you know it hurts

[Pre-Chorus]
But you make me wanna act like a girl
Paint my nails and wear perfume for you
Make me so nervous that I just can't hold your hand

[Chorus]
You make me glow
But I cover up, won't let it show
So I'm putting my defenses up
'Cause I don't wanna fall in love
If I ever did that, I think I'd have a heart attack
I think I'd have a heart attack
I think I'd have a heart attack

[Bridge]
The feelings got lost in my lungs
They're burning, I'd rather be numb (I'd rather be numb)
And there's no one else to blame (No one else to blame)
So scared, I take off and I run
I'm flying too close to the sun
And I burst into flames
[Chorus]
You make me glow
But I cover up, won't let it show
So I'm putting my defenses up
'Cause I don't wanna fall in love
If I ever did that, I think I'd have a heart attack (Yeah)
I think I'd have a heart attack (Heart attack)
I think I'd have a heart attack (-Tack)
Oh, I think I'd have a heart attack (-Tack)
I think I'd have a heart attack214Embed"
Demi Lovato - Sorry Not Sorry,"[Intro]
(Payback is a bad bitch and, baby, I'm the baddest)
(Go)

[Verse 1]
Now I'm out here lookin' like revenge
Feelin' like a ten, the best I've ever been
And, yeah, I know how bad it must hurt to see me like this
But it gets worse (Wait a minute)
Now you're out here lookin' like regret
Ain't too proud to beg, second chance you'll never get
And, yeah, I know how bad it must hurt to see me like this
But it gets worse (Wait a minute)

[Pre-Chorus]
Now, payback is a bad bitch and baby, I'm the baddest
You fuckin' with a savage, can't have this, can't have this (Ah)
And it'd be nice of me to take it easy on ya, but nah

[Chorus]
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns
You might also like[Verse 2]
Baby, fineness is the way to kill
Tell me how it feel, bet it's such a bitter pill
And, yeah, I know you thought you had bigger, better things
Bet right now this stings (Wait a minute)
'Cause the grass is greener under me
Bright as Technicolor, I can tell that you can see
And, yeah, I know how bad it must hurt to see me like this
But it gets worse (Wait a minute)

[Pre-Chorus]
Now, payback is a bad bitch and baby, I'm the baddest
You fuckin' with a savage, can't have this, can't have this (Ah)
And it'd be nice of me to take it easy on ya, but nah

[Chorus]
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Feelin' inspired 'cause the tables have turned
Yeah, I'm on fire and I know that it burns

[Bridge]
Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby, ah, yeah
Talk that talk, baby
Better walk, better walk that walk, baby
If you talk, if you talk that talk, baby
Better walk, better walk that walk, baby (Oh, yeah, yeah)
[Chorus]
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry)
Bein' so bad got me feelin' so good
Showin' you up like I knew that I would
Baby, I'm sorry (I'm not sorry)
Baby, I'm sorry (I'm not sorry, sorry)
Feelin' inspired 'cause the tables have turned (Have turned)
Yeah, I'm on fire and I know that it burns (So sorry, not sorry, not sorry)

[Outro]
(Payback is a bad bitch and, baby, I'm the baddest)110Embed"
